0.552 157.9 189.0 1.034 1.918 181.876 231.254 1.849 146.753 
nan nan nan nan nan nan nan nan nan 
0.592 204.8 211.0 1.183 2.788 153.480 257.782 2.653 105.678 
nan nan nan nan nan nan nan nan nan 
0.394 178.7 189.0 0.469 3.318 98.195 190.178 1.986 85.884 
0.669 143.2 166.0 0.748 3.710 83.538 158.047 4.047 78.478 
0.275 173.3 197.0 0.369 2.740 115.602 211.045 2.467 105.291 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.160 187.9 198.0 0.200 1.960 127.007 208.475 1.234 116.461 
nan nan nan nan nan nan nan nan nan 
0.617 206.2 221.0 1.492 8.487 95.208 290.962 13.944 64.311 
1.040 166.8 205.0 1.434 3.207 115.602 201.082 3.108 97.923 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.232 222.0 223.0 0.418 2.655 164.738 273.358 2.475 115.140 
0.451 134.9 146.0 0.623 1.392 176.005 165.496 1.199 152.769 
0.166 185.0 179.0 0.229 2.442 122.996 248.699 2.420 118.378 
0.120 226.9 241.0 0.180 1.889 204.749 286.856 1.443 186.654 
0.605 150.3 165.0 1.225 1.968 169.133 249.839 2.095 138.235 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.149 237.1 228.0 0.171 14.242 60.358 273.428 3.207 88.072 
0.112 233.8 235.0 0.159 1.970 180.559 270.144 1.215 157.134 
0.518 148.9 172.0 0.771 1.592 177.665 184.276 1.325 147.481 
nan nan nan nan nan nan nan nan nan 
0.723 163.7 178.0 1.393 2.881 129.514 255.825 3.206 105.613 
0.099 244.9 252.0 0.138 2.579 163.189 280.649 1.578 145.868 
nan nan nan nan nan nan nan nan nan 
0.474 141.1 151.0 0.535 2.118 102.852 152.900 1.913 93.205 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.229 208.8 218.0 0.369 4.560 117.633 277.296 5.969 90.762 
0.323 196.8 184.0 0.636 2.513 153.909 281.447 2.391 124.133 
0.567 201.6 206.0 0.836 3.220 124.221 223.141 1.695 101.477 
0.232 138.9 173.0 0.284 1.673 132.284 162.398 1.493 125.277 
nan nan nan nan nan nan nan nan nan 
0.857 215.3 220.0 1.154 10.911 75.261 238.720 13.340 57.422 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.346 162.8 193.0 0.500 2.218 140.792 200.917 1.885 121.919 
0.373 204.1 207.0 0.503 3.804 104.391 228.957 2.448 91.342 
0.709 224.1 227.0 1.313 7.372 95.499 271.100 12.912 61.895 
0.725 200.6 206.0 1.294 2.873 144.077 242.231 2.499 103.433 
0.773 192.6 204.0 1.187 4.186 107.531 235.109 4.172 86.506 
nan nan nan nan nan nan nan nan nan 
0.092 192.2 186.0 0.135 1.070 246.611 245.081 0.801 232.724 
nan nan nan nan nan nan nan nan nan 
0.079 194.1 208.0 0.111 1.040 254.052 222.753 0.517 234.791 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 
0.177 161.9 173.0 0.319 1.400 232.018 244.069 1.256 203.715 
0.670 179.8 207.0 0.953 3.089 121.167 207.217 2.492 97.733 
0.363 141.3 151.0 0.692 1.814 165.235 250.851 1.833 151.951 
nan nan nan nan nan nan nan nan nan 
